	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.961467225059103, iter: 282200.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7fa75da4d7b8>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2837  0.7006 | 1.1549  0.7031 |    47 min |  1.21 s | 282640,1760 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2639  0.7052 | 1.0071  0.7500 |    48 min |  1.21 s | 282645,1780 
0.0005  282.6 k   5.97  | 1.3494  0.6930 | 1.2735  0.7018 | 1.1051  0.6875 |    48 min |  1.21 s | 282650,1800 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2196  0.7212 | 1.1446  0.7656 |    49 min |  1.21 s | 282655,1820 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2448  0.7188 | 1.2087  0.7344 |    49 min |  1.21 s | 282660,1840 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2602  0.7153 | 1.7262  0.5625 |    50 min |  1.21 s | 282665,1860 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2649  0.7124 | 1.0388  0.7344 |    50 min |  1.21 s | 282670,1880 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2592  0.7107 | 1.2279  0.6719 |    51 min |  1.21 s | 282675,1900 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2647  0.7109 | 1.4058  0.6875 |    51 min |  1.21 s | 282680,1920 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2605  0.7099 | 1.1826  0.7344 |    52 min |  1.21 s | 282685,1940 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2597  0.7117 | 1.1935  0.7031 |    52 min |  1.21 s | 282690,1960 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2640  0.7095 | 1.2389  0.7500 |    53 min |  1.21 s | 282695,1980 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2571  0.7102 | 1.0238  0.7969 |    54 min |  1.21 s | 282700,2000 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.3623  0.6957 | 1.2951  0.6562 |    54 min |  1.21 s | 282705,2020 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.3347  0.6959 | 1.3519  0.6719 |    55 min |  1.21 s | 282710,2040 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.3210  0.6970 | 1.2466  0.6250 |    55 min |  1.21 s | 282715,2060 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2982  0.7019 | 1.5100  0.6875 |    56 min |  1.21 s | 282720,2080 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.3006  0.7022 | 1.4846  0.6562 |    56 min |  1.21 s | 282725,2100 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.3048  0.7019 | 0.7940  0.8125 |    57 min |  1.21 s | 282730,2120 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2961  0.7028 | 1.2173  0.7500 |    57 min |  1.21 s | 282735,2140 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2860  0.7044 | 1.0707  0.7656 |    58 min |  1.21 s | 282740,2160 
0.0005  282.7 k   5.97  | 1.3494  0.6930 | 1.2796  0.7078 | 1.1662  0.6875 |    58 min |  1.21 s | 282745,2180 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2688  0.7106 | 1.6629  0.6719 |    59 min |  1.21 s | 282750,2200 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2897  0.7048 | 1.4059  0.6406 |    59 min |  1.21 s | 282755,2220 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.3151  0.7031 | 1.6486  0.7500 |    60 min |  1.21 s | 282760,2240 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.3071  0.7031 | 1.1812  0.7500 |    60 min |  1.21 s | 282765,2260 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.3096  0.7047 | 1.9473  0.6094 |    61 min |  1.21 s | 282770,2280 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2953  0.7083 | 1.3639  0.7812 |    61 min |  1.21 s | 282775,2300 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2908  0.7080 | 1.5251  0.6875 |    62 min |  1.21 s | 282780,2320 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2847  0.7080 | 0.8597  0.7500 |    62 min |  1.21 s | 282785,2340 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2718  0.7118 | 1.2272  0.6719 |    63 min |  1.21 s | 282790,2360 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2728  0.7108 | 1.2470  0.7188 |    63 min |  1.21 s | 282795,2380 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2682  0.7101 | 1.5480  0.6875 |    64 min |  1.21 s | 282800,2400 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2025  0.7105 | 1.0509  0.7188 |    65 min |  1.21 s | 282805,2420 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2486  0.7119 | 1.0387  0.7812 |    65 min |  1.21 s | 282810,2440 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2596  0.7153 | 1.3945  0.7188 |    66 min |  1.21 s | 282815,2460 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2705  0.7118 | 1.3772  0.7188 |    66 min |  1.21 s | 282820,2480 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2816  0.7098 | 1.1692  0.7344 |    67 min |  1.21 s | 282825,2500 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2828  0.7079 | 1.5192  0.6094 |    67 min |  1.21 s | 282830,2520 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2824  0.7090 | 1.3696  0.6719 |    68 min |  1.21 s | 282835,2540 
0.0005  282.8 k   5.97  | 1.3494  0.6930 | 1.2743  0.7112 | 0.9569  0.7812 |    68 min |  1.21 s | 282840,2560 
0.0005  282.8 k   5.98  | 1.3494  0.6930 | 1.2592  0.7153 | 1.1962  0.7812 |    69 min |  1.21 s | 282845,2580 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2529  0.7154 | 0.8698  0.7344 |    69 min |  1.21 s | 282850,2600 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.3556  0.6875 | 1.3891  0.6875 |    70 min |  1.21 s | 282855,2620 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.3022  0.6999 | 1.0195  0.7812 |    70 min |  1.21 s | 282860,2640 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2981  0.6992 | 1.3957  0.6406 |    71 min |  1.21 s | 282865,2660 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2849  0.7023 | 0.9484  0.7812 |    71 min |  1.21 s | 282870,2680 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2741  0.7039 | 1.3989  0.6094 |    72 min |  1.21 s | 282875,2700 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2695  0.7051 | 0.9312  0.7344 |    72 min |  1.21 s | 282880,2720 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2571  0.7086 | 1.4167  0.6562 |    73 min |  1.21 s | 282885,2740 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2591  0.7087 | 1.2599  0.7188 |    73 min |  1.21 s | 282890,2760 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2546  0.7105 | 1.1563  0.7188 |    74 min |  1.21 s | 282895,2780 
0.0005  282.9 k   5.98  | 1.3494  0.6930 | 1.2523  0.7120 | 0.9367  0.7344 |    74 min |  1.21 s | 282900,2800 

--- [START 2017-12-06 00:03:41] ----------------------------------------------------------------

** some experiment setting **
	IDENTIFIER   = resnet
	SEED         = 123456
	PROJECT_PATH = ./project
	out_dir      = ../
** net setting **
<class 'net.resnet101.ResNet101'>


** dataset setting **
	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.9762547057732816, iter: 282900.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7f3ffce90550>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0000  282.9 k   5.98  | 0.0000  0.6930 | 0.0000  0.7344 | 0.0000  0.0000 |     0 min |  0.00 s | 282900,0 

--- [START 2017-12-06 00:05:11] ----------------------------------------------------------------

** some experiment setting **
	IDENTIFIER   = resnet
	SEED         = 123456
	PROJECT_PATH = ./project
	out_dir      = ../
** net setting **
<class 'net.resnet101.ResNet101'>


** dataset setting **
	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.9762547057732816, iter: 282900.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7f6c80c48588>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0000  282.9 k   5.98  | 0.0000  0.6930 | 0.0000  0.7344 | 0.0000  0.0000 |     0 min |  0.00 s | 282900,0 

--- [START 2017-12-06 00:06:53] ----------------------------------------------------------------

** some experiment setting **
	IDENTIFIER   = resnet
	SEED         = 123456
	PROJECT_PATH = ./project
	out_dir      = ../
** net setting **
<class 'net.resnet101.ResNet101'>


** dataset setting **

--- [START 2017-12-06 00:07:19] ----------------------------------------------------------------

** some experiment setting **
	IDENTIFIER   = resnet
	SEED         = 123456
	PROJECT_PATH = ./project
	out_dir      = ../
** net setting **
<class 'net.resnet101.ResNet101'>


** dataset setting **
	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.9762547057732816, iter: 282900.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7fdd1fb885c0>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0000  282.9 k   5.98  | 0.0000  0.6930 | 0.0000  0.7344 | 0.0000  0.0000 |     0 min |  0.00 s | 282900,0 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2141  0.7195 | 1.1397  0.7031 |     1 min |  1.23 s | 282905,20 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2753  0.7096 | 1.4085  0.6875 |     1 min |  1.21 s | 282910,40 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2562  0.7134 | 1.0210  0.7812 |     2 min |  1.20 s | 282915,60 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2693  0.7132 | 1.5528  0.6250 |     2 min |  1.20 s | 282920,80 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2689  0.7127 | 1.1755  0.6719 |     3 min |  1.20 s | 282925,100 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2634  0.7140 | 0.8680  0.8594 |     3 min |  1.20 s | 282930,120 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2555  0.7159 | 1.2927  0.6094 |     4 min |  1.20 s | 282935,140 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2594  0.7138 | 1.3074  0.7031 |     4 min |  1.20 s | 282940,160 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2663  0.7127 | 1.5319  0.6719 |     5 min |  1.20 s | 282945,180 
0.0005  282.9 k   5.98  | 0.0000  0.6930 | 1.2666  0.7129 | 1.0431  0.7656 |     5 min |  1.20 s | 282950,200 
0.0005  283.0 k   5.98  | 0.0000  0.6930 | 1.3121  0.6982 | 1.0311  0.7812 |     6 min |  1.20 s | 282955,220 
0.0005  283.0 k   5.98  | 0.0000  0.6930 | 1.2850  0.7067 | 1.4979  0.6719 |     6 min |  1.20 s | 282960,240 
